Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
203,348,A Confederacy of Dunces,John Kennedy Toole,1980,American,English,300-400,121000,203,1198,"Absurdist, Fiction, Humor, Postmodern, Satire, Social & Cultural Fiction","Ambition, Comedy, Eccentricity, Failure, Family, Friendship, Society, Work, isolation","Louisiana, New Orleans, United States"
204,911,The Life of Samuel Johnson,James Boswell,1791,British,English,1400-1500,208000,204,1197,"Biography, Mythological, Nonfiction, Travel, Victorian","Criticism, Friendship, History, Intellectualism, Society, morality","England, Great Britain, London, Scotland, United Kingdom"
205,49,"The Lion, The Witch and the Wardrobe",C. S. Lewis,1950,British,English,100-200,38867,205,1190,"Adventure, Children's books, Fantasy, Fiction, High Fantasy, Speculative Fiction","Animals, Betrayal, Childhood and youth, Courage, Good vs. Evil, Juvenile, Magic, Mythical Creatures, Redemption, Sacrifice","England, Fictional Location"
206,2292,Bonjour Tristesse,Francoise Sagan,1954,French,French,100-200,30000,206,1185,"Coming of age, Contemporary, Drama, Fiction, Literary Fiction, Psychological","Adolescence, Family, Family dynamics, Freedom, Grief, Guilt, Jealousy, Love, Revenge, Teenagers, Women's Studies, relationships","France, Riviera"
207,165,A Good Man Is Hard to Find,Flannery O'Connor,1953,American,English,30-50,,207,1180,"Fiction, Gothic, Literary Fiction, Psychological, Short Story Collection, Travel","Death, Family, Grace, Guilt, Redemption, Selfishness, Southern Gothic, Violence, morality","Georgia, Southern US, United States"
208,9,Atonement,Ian McEwan,2001,British,English,350-400,123378,208,1177,"Allegorical, Coming of age, Fiction, Historical fiction, Literary Fiction, Psychological","Country life, Family, Family dynamics, Guilt, Injustice, Love, Redemption, Siblings, Teenagers, War, World War II, class, writing","England, Great Britain, London"
209,499,The Remains of the Day,Kazuo Ishiguro,1989,British,English,200-250,72000,209,1164,"Allegorical, Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Butler, Country life, Dignity, Duty, Family dynamics, Loyalty, Memory, Regret, Service, class, relationships","England, United States"
210,882,Democracy in America,Alexis de Tocqueville,1835,French,French,300-900,700000,210,1152,"Cultural, Nonfiction, Political, philosophical","American History, Democracy, History, Humanities, Philosophy, Political Ideologies, Social sciences","France, United States"
211,63,Never Let Me Go,Kazuo Ishiguro,2005,British,English,288,88500,211,1151,"Drama, Fiction, Literary Fiction, Psychological, Science fiction, Social & Cultural Fiction, Speculative Fiction, Travel","Cloning, Education, Ethics, Friendship, Humanity, Memory, Mortality, health","England, Fictional Location"
212,2123,A Wizard of Earthsea,Ursula K. Le Guin,1968,American,English,180-205,56000,212,1150,"Adventure, Coming of age, Fantasy, Fiction, High Fantasy, Speculative Fiction","Balance, Dragons, Juvenile, Magic, Power, Responsibility, Self-discovery, Wizards",Fictional Location
213,2298,The Murder of Roger Ackroyd,Agatha Christie,1926,British,English,300-400,58000,213,1148,"Crime, Fiction, Mystery, Psychological, Thriller & Suspense","Betrayal, Blackmail, Deception, Detective, Family, Investigation, Murder, Novela, Psychology, secrets","England, Fictional Location"
214,1067,The Republic,Plato,-379,Greek,Ancient greek,300-500,118000,214,1142,"Ancient, Nonfiction, Political, philosophical","Education, Government, History, Justice, Philosophy, Society, Truth, Virtue, morality","Ancient Greece, Athens, Utopia"
215,22,The Corrections,Jonathan Franzen,2001,American,English,576,196000,215,1142,"Drama, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Aging, Disillusionment, Family, Family dynamics, Identity, Marriage, Mental illness, Midlife crisis, Technology, consumerism","Midwest, New York, New York City, Pennsylvania, United States"
216,2259,East of Eden,John Steinbeck,1952,American,English,600-800,225000,216,1141,"Coming of age, Fiction, Good and evil, Historical fiction, Literary Fiction, Social & Cultural Fiction","Family, Family dynamics, Free will, Guilt, Identity, Inheritance, Jealousy, Redemption","California, Massachusetts, Salinas, San Francisco, United States"
217,1595,The Tempest,William Shakespeare,1623,British,English,70-100,17000,217,1141,"Drama, Fantasy, Fiction, Plays, Sailors & The Sea, Speculative Fiction","Betrayal, Family, Forgiveness, Freedom, Power, Redemption, Revenge, colonialism","Fictional Location, Italy"
218,2446,Nausea,Jean Paul Sartre,1938,French,French,150-250,70000,218,1141,"Dark, Existentialist, Fiction, Literary Fiction, Social & Cultural Fiction, philosophical","Alienation, Consciousness, Despair, Existentialism, Freedom, Human Condition, Philosophy, Self-awareness","Bouville, France"
219,3348,The Haunting of Hill House,Shirley Jackson,1959,American,English,182-246,80274,219,1139,"Fiction, Gothic, Horror, Mystery, Psychological, Speculative Fiction","Death, Family, Ghosts, Haunting, Madness, Paranormal, Psychological Distress, fear, isolation","Fictional Location, New England"
220,173,Women in Love,D. H. Lawrence,1920,British,English,400-500,134000,220,1136,"Drama, Fiction, Literary Fiction, Modernist, Psychological, Social & Cultural Fiction","Desire, Freedom, Friendship, Identity, Industrialization, Love, Marriage, Nature, conflict, relationships","England, Midlands"
221,2440,A Season in Hell,Arthur Rimbaud,1873,French,French,50-100,5000,221,1133,"Allegorical, Dark, Experimental, Fiction, Literary Fiction, Poetry, Surreal","Despair, Existence, Madness, Redemption, Salvation, Sin, Suffering, rebellion",France
222,418,Collected Poems of W. B. Yeats,William Butler Yeats,1933,Irish,English,576,,222,1120,"Allegorical, Dark, Fiction, Literary Fiction, Poetry, Religion & Spirituality","Aging, History, Identity, Irish nationalism, Love, Mysticism, Mythology, Nature",Ireland
223,738,Out of Africa,Isak Dinesen,1937,Danish,Danish,300-400,104960,223,1102,"Cultural, Memoir, Nonfiction, Social & Cultural Fiction, Travel","Cultural exchange, Freedom, Friendship, Identity, Loss, Memory, Nature, colonialism, isolation","Africa, Kenya, Southern Africa, Sub-Saharan Africa"
224,243,Of Human Bondage,W. Somerset Maugham,1915,British,English,600-700,250000,224,1099,"Coming of age, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, philosophical","Ambition, Despair, Freedom, Friendship, Hope, Identity, Love, Self-discovery, Suffering","England, France, London, Paris"
225,123,Of Mice and Men,John Steinbeck,1937,American,English,100-200,29000,225,1097,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Companionship, Dreams, Farm life, Friendship, People with disabilities, Poverty, Power, Prejudice, Sacrifice, Violence, disability, isolation, loneliness","California, Salinas Valley, United States"
226,244,The House of Mirth,Edith Wharton,1905,American,English,350-400,140391,226,1096,"Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Ambition, Marriage, Social status, Society, Wealth, class, gender roles","New York, New York City, United States"
227,451,Hunger,Knut Hamsun,1890,Norwegian,Norwegian,100-300,64000,227,1096,"Allegorical, Dark, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Creativity, Desperation, Existentialism, Hunger, Mental Health, Poverty, Pride, Struggle, Survival, isolation, realism","Norway, Oslo"
228,544,The Stand,Stephen King,1978,American,English,823-1152,472000,228,1096,"Apocalyptic, Dystopian, Fiction, Horror, Post Apocalyptic, Science fiction, Speculative Fiction","Community, Disease, Good vs Evil, Power, Redemption, Survival, fear, human nature, isolation, morality","Boulder, Colorado, Las Vegas, United States"
229,364,The Amazing Adventures of Kavalier and Clay,Michael Chabon,2000,American,English,639,216000,229,1095,"Adventure, Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern","Alternate History, Dreams, Escape, Heroism, Identity, Jewish, Survival, War","New York, New York City, United States"
230,561,The Secret History,Donna Tartt,1992,American,English,523,223000,230,1094,"Crime, Drama, Fiction, Literary Fiction, Mystery, Psychological","Betrayal, Classics, Friendship, Guilt, Murder, Obsession, academic, isolation, morality, secrets","United States, Vermont"
231,143,The World According to Garp,John Irving,1978,American,English,437-609,191473,231,1092,"Coming of age, Dark, Fiction, Humor, Literary Fiction, Social & Cultural Fiction","Death, Feminism, Infidelity, Parenthood, Sexuality, Violence, writing","Fictional Location, United States"
232,338,Persuasion,Jane Austen,1817,British,English,230-300,87022,232,1091,"Drama, Fiction, Literary Fiction, Regency, Romance, Social & Cultural Fiction","Duty, Family, Love, Marriage, Persuasion, Reconciliation, Regret, Siblings, Social Class, relationships","Bath, England, Great Britain"
233,2573,The Forsyte Saga,John Galsworthy,1906,British,English,872,555000,233,1086,"Fiction, Historical fiction, Literary Fiction, Sagas, Social & Cultural Fiction, Victorian","Divorce, Family, Family dynamics, Infidelity, Inheritance, Love, Marriage, Social Class, Wealth, property","England, London"
234,1695,Molloy,Samuel Beckett,1951,Irish,French,200-300,72000,234,1086,"Allegorical, Dark, Experimental, Fiction, Picaresque, Postmodern, Social & Cultural Fiction, Surreal","Alienation, Existentialism, Madness, Memory, Mother-son relationship, Philosophy, Search, disability, isolation",Fictional Location
235,458,Zorba the Greek,Nikos Kazantzakis,1946,Greek,Greek,300-500,70000,235,1085,"Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Travel, philosophical","Death, Existentialism, Freedom, Friendship, Humanity, Love, Music, Passion, Philosophy, Work","Crete, Greece"
236,454,Franz Kafka,Franz Kafka,1971,Czech,Unknown,450-550,,236,1082,"Absurdist, Allegorical, Dark, Fiction, Literary Fiction, Surreal, philosophical","Alienation, Authority, Bureaucracy, Classics, Justice, Paranoia, Power, Short stories, isolation, metamorphosis",Fictional Location
237,2286,The Tartar Steppe,Dino Buzzati,1940,Italian,Italian,200-300,60000,237,1082,"Allegorical, Dark, Drama, Fiction, Literary Fiction, Psychological","Ambition, Despair, Disillusionment, Duty, Existentialism, Hope, Time, War, isolation",Fictional Location
238,634,Disgrace,J. M. Coetzee,1999,South African,English,220,79000,238,1077,"Drama, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Tragedy","Academia, Animals, Ethics, Family, Justice, Power, Rape, Redemption, Sexual Misconduct, Shame, Violence, race","Africa, Eastern Cape, South Africa"
239,2803,The Turn of the Screw,Henry James,1898,American,English,120-200,42960,239,1072,"Fiction, Gothic, Horror, Mystery, Psychological, Speculative Fiction","Ghosts, Innocence, Madness, Perception, childhood, corruption, fear, isolation","England, United States"
240,530,The Gulag Archipelago,Aleksandr Solzhenitsyn,1973,Russian,Russian,1600-2200,660000,240,1070,"Memoir, Nonfiction, Political, True Story, philosophical","History, Human rights, Injustice, Memory, Political Ideologies, Prisoners, Reportage, Resistance, Suffering, Survival, Truth, oppression","Gulag, Russia, Soviet Union"
241,1129,Invisible Cities,Italo Calvino,1972,Italian,Italian,165,36000,241,1069,"Allegorical, Fiction, Literary Fiction, Postmodern, Surreal, Travel, philosophical","Communication, Human Experience, Identity, Memory, Perception, Time, imagination",Fictional Location
242,148,Finnegans Wake,James Joyce,1939,Irish,English,590-628,215000,242,1061,"Encyclopedic, Experimental, Fiction, Literary Fiction, Modernist, Postmodern, Surreal","Consciousness, Dreams, Family, History, Identity, Language & Writing, Mythology, Time, stream of consciousness","Dublin, Ireland"
243,93,Tropic of Cancer,Henry Miller,1934,American,English,300-400,80000,243,1054,"Allegorical, Erotica, Experimental, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction","Alienation, Bohemianism, Existentialism, Friendship, Poverty, Sex, Struggle","France, New York, Paris"
244,2398,Death of Virgil,Hermann Broch,1945,Austrian,German,400-500,153000,244,1047,"Allegorical, Dark, Experimental, Fiction, Literary Fiction, Social & Cultural Fiction, philosophical",Death,"Brundisium, Italy, Rome"
245,2462,Siddhartha,Hermann Hesse,1922,German,German,152,50000,245,1046,"Allegorical, Coming of age, Fiction, Literary Fiction, Religion & Spirituality, philosophical","Christianity, Enlightenment, Friendship, Hinduism, Identity, Nature, Self-discovery, Suffering, Wisdom","Fictional Location, Germany, India"
246,328,Berlin Alexanderplatz,Alfred Döblin,1929,German,German,200-600,150000,246,1045,"Fiction, Literary Fiction, Modernist, Picaresque, Psychological, Social & Cultural Fiction","Despair, Hope, Identity, Redemption, Struggle, Urban Life, isolation","Berlin, Germany"
247,440,Medea,Euripides,-431,Greek,Ancient greek,30-50,,247,1037,"Drama, Fiction, Mythological, Plays, Tragedy","Betrayal, Children, Exile, History, Infidelity, Justice, Love, Marriage, Revenge, Sorcery, gender roles","Corinth, Greece"
248,149,The Jungle,Upton Sinclair,1906,American,English,300-500,154000,248,1037,"Drama, Fiction, Literary Fiction, Political, Social & Cultural Fiction, Travel","Despair, Economics, Exploitation, Family, Immigration, Industrialization, Labor, Poverty, Socialism, corruption","Chicago, Illinois, United States"
249,523,The Double Helix,James D. Watson,1968,American,English,200-300,64000,249,1031,"Biography, Cultural, Memoir, Nonfiction, Technical","Collaboration, DNA Structure, Discovery, Genetics, History, History Of Science, Innovation, Research, Science, competition","Cambridge, England, United States"
250,58,The Moviegoer,Walker Percy,1961,American,English,224,60000,250,1030,"Allegorical, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction, philosophical","Alienation, Existentialism, Family, Mental Health, Movies, Psychology & Mental Health, Search for Meaning, Southern Gothic, relationships","Louisiana, New Orleans, United States"
251,58903,The Epic Of Gilgamesh,Unknown,-2100,Multiple,Akkadian,50-100,,251,1029,"Adventure, Fiction, Mythological, Poetry, Tragedy, epic","Civilization, Divine Intervention, Friendship, Heroism, Legacy, Mortality, Nature, Wisdom","Babylon, Fictional Location, Iraq, Mesopotamia, Uruk"
252,370,The Road,Cormac McCarthy,2006,American,English,287,58000,252,1022,"Apocalyptic, Dystopian, Fiction, Literary Fiction, Post Apocalyptic, Speculative Fiction, Tragedy","Despair, Fatherhood, Hope, Humanity, Memory, Mortality, Survival, isolation",United States
253,597,2666,Roberto Bolaño,2004,Chilean,Spanish,900-1100,325000,253,1022,"Encyclopedic, Experimental, Fiction, Literary Fiction, Postmodern, Psychological, Social & Cultural Fiction","Academia, Death, History, Journalism, Madness, Murder, Obsession, Violence, War","Mexico, Santa Teresa"
254,949,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,American,English,300-500,166622,254,1008,"Banned books, Fiction, Historical fiction, Literary Fiction, Political, Social & Cultural Fiction","African American History, Empathy, Family, Freedom, History, Injustice, Racism, Resistance, Slavery, Suffering, morality","Kentucky, Louisiana, Ohio, Southern US, United States"
255,6,"Are You There God? It's Me, Margaret",Judy Blume,1970,American,English,150-200,25000,255,1003,"Coming of age, Family & Relationships, Fiction, Realistic Fiction, Young adult","Adolescence, Conduct of life, Correspondence, Family, Family dynamics, Friendship, Jews, Missionaries, Self-discovery, Teenagers, Youth, puberty","Farbrook, New Jersey, New York, United States"
256,572,The Godfather,Mario Puzo,1969,American,English,400-500,141000,256,996,"Crime, Fiction, Literary Fiction, Social & Cultural Fiction, Thriller & Suspense","Betrayal, Family, Family dynamics, Honor, Loyalty, Mafia, Novela, Power, Revenge, Violence, corruption","New York, United States"
257,174,"Look Homeward, Angel",Thomas Wolfe,1929,American,English,500-600,209000,257,993,"Coming of age, Drama, Family & Relationships, Fiction, Literary Fiction, Social & Cultural Fiction","Ambition, Death, Dreams, Education, Family, Family dynamics, Grief, History, Love, Memory, Southern Gothic","Asheville, North Carolina, United States"
258,459,Independent People,Halldor Laxness,1934,Icelandic,Icelandic,400-500,200000,258,990,"Allegorical, Drama, Fiction, Literary Fiction, Pastoral, Social & Cultural Fiction","Family, Farm life, Hardship, Poverty, Regional & Cultural, Resilience, Sheep Farming, Struggle, Survival, isolation, tradition","Europe, Germany, Iceland, Independence"
259,1491,Thus Spake Zarathustra,Friedrich Nietzsche,1883,German,German,300-500,64000,259,986,"Allegorical, Experimental, Fiction, Literary Fiction, Postmodern, philosophical","Eternal Recurrence, Existentialism, Individualism, Nihilism, Overman (Übermensch), Will to Power, morality","Fictional Location, Germany"
260,2607,The Waves,Virginia Woolf,1931,British,English,200-300,83000,260,985,"Experimental, Fiction, Literary Fiction, Modernist, Poetry, Social & Cultural Fiction","Death, Existence, Friendship, Memory, Nature, Psychology & Mental Health, Self-discovery, Time, Women's Studies, change, isolation, stream of consciousness",England
261,197,Dangerous Liaison,Pierre Choderlos de Laclos,1782,French,French,400-500,175000,261,983,"Fiction, Gothic, Literary Fiction, Literary Letters, Social & Cultural Fiction, Tragedy","Betrayal, Deception, Intrigue, Love, Manipulation, Revenge, Seduction, Sports & Outdoors, morality, relationships",France
262,245,The Alexandria Quartet,Lawrence Durrell,1957,British,English,884,495000,262,982,"Fiction, Historical fiction, Literary Fiction, Modernist, Postmodern, Social & Cultural Fiction, philosophical","Betrayal, Espionage, Friendship, Love, Memory, Politics, Sexuality","Alexandria, Egypt"
263,1688,The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,1782,French,French,600-800,267000,263,976,"Autobiography, Diaries & Journals, Memoir, Nonfiction, philosophical","Education, Friendship, History, Identity, Individualism, Nature, Philosophy, Self-reflection, Society, morality","France, Paris"
264,2644,A Hero of Our Time,Mikhail Lermontov,1840,Russian,Russian,150-200,64000,264,975,"Fiction, Historical fiction, Literary Fiction, Picaresque, Psychological, philosophical","Betrayal, Duel, Fate, Friendship, Honor, Love, Psychology","Caucasus, Russia"
265,944,Oblomov,Ivan Goncharov,1859,Russian,Russian,200-600,200000,265,974,"Allegorical, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, philosophical","Existentialism, Family, Friendship, Inertia, Love, Procrastination, Society, change, class","Russia, Saint Petersburg"
266,2153,A Tree Grows in Brooklyn,Betty Smith,1943,American,English,300-500,145092,266,969,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction","Adolescence, Dreams, Education, Family, Family dynamics, History, Immigration, Novela, Poverty, Resilience, Teenagers, alcoholism, class, gender","Brooklyn, New York, United States"
267,1282,The Shining,Stephen King,1977,American,English,447-659,163000,267,969,"Fiction, Horror, Mystery, Psychological, Speculative Fiction, Supernatural, Thriller & Suspense","Family, Madness, Murder, Psychic abilities, Violence, alcoholism, isolation",Fictional Location
268,1,The Adventures of Augie March,Saul Bellow,1953,American,English,500-600,156000,268,968,"Coming of age, Fiction, Literary Fiction, Picaresque, Social & Cultural Fiction","Adversity, Ambition, Family, Freedom, Friendship, Identity, Individualism, Society","Chicago, Illinois, Mexico, United States"
269,227,Darkness at Noon,Arthur Koestler,1940,British,German,200-300,80000,269,964,"Dystopian, Fiction, Literary Fiction, Political, Psychological, Speculative Fiction","Betrayal, Guilt, Ideology, Interrogation, Justice, Political Repression, Power, Revolution, Totalitarianism, morality","Fictional Location, Soviet Union"
270,2653,The Chronicles of Narnia,C. S. Lewis,1950,British,English,100-250,778045,270,960,"Adventure, Allegorical, Fantasy, Fiction, Folklore & Fairy Tales, High Fantasy, Religion & Spirituality, Speculative Fiction","Christianity, Courage, Faith, Good vs. Evil, Redemption, Sacrifice","Fictional Location, London"
271,461,Pippi Longstocking,Astrid Lindgren,1945,Swedish,Swedish,100-200,30000,271,957,"Adventure, Children's books, Fiction, Humor, Realistic Fiction","Animals, Conduct of life, Family, Friendship, Juvenile, Nonconformity, Strength, childhood, imagination, orphans","Fictional Location, Independence"
272,74,The Power and the Glory,Graham Greene,1940,British,English,200-300,71000,272,951,"Allegorical, Fiction, Historical fiction, Literary Fiction, Religion & Spirituality, Social & Cultural Fiction","Catholicism, Despair, Faith, Martyrdom, Persecution, Redemption, Sin, corruption, isolation","Mexico, Tabasco, United States"
273,3154,Life and Fate,Vasily Grossman,1980,Russian,Russian,800-900,290000,273,950,"Fiction, Historical fiction, Literary Fiction, Political, Psychological, Social & Cultural Fiction, philosophical","European History, Family, Family dynamics, Freedom, History, Hope, Humanity, Political Ideologies, Suffering, Survival, War, morality","Russia, Stalingrad"
274,653,The Complete Stories of Flannery O'Connor,Flannery O'Connor,1971,American,English,500-600,,274,943,"Dark Humor, Fiction, Gothic, Literary Fiction, Short Story Collection, Social & Cultural Fiction","Family, Grace, Identity, Prejudice, Redemption, Southern Culture, Southern Gothic, Violence, human nature, isolation, morality","Fictional Location, Georgia, Southern US, Southern United States"
275,3177,The Radetzky March,Joseph Roth,1932,Austrian,German,300-400,100000,275,942,"Allegorical, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Decline, Duty, Family, Honor, Imperialism, Loyalty, Military, War, class, tradition","Austria, Austria-Hungary, Europe, Hungary"
276,224,Nostromo,Joseph Conrad,1904,British,English,500-600,170000,276,934,"Allegorical, Fiction, Historical fiction, Literary Fiction, Modernist, Political","Betrayal, Exploitation, Loyalty, Politics, Power, Revolution, Wealth, class, colonialism, corruption, greed",Fictional Location
277,185,Babbitt,Sinclair Lewis,1922,American,English,300-400,95000,277,934,"Fiction, Literary Fiction, Political, Satire, Social & Cultural Fiction","Business, Conformity, Disillusionment, Family, Friendship, History, Marriage, Materialism, Middle class, Social status, realism","Fictional Location, United States"
278,3149,The Lover,Marguerite Duras,1984,French,French,117-148,42000,278,931,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Memoir, Social & Cultural Fiction","Family, Love, Memory, Poverty, Sexuality, colonialism, race","France, Vietnam"
279,598,Oresteia,Aeschylus,-458,Greek,Ancient greek,150-200,24000,279,925,"Ancient, Drama, Mythological, Plays, Poetry, Tragedy","Betrayal, Curses, Divine Intervention, Family, Guilt, Justice, Murder, Redemption, Revenge, Sacrifice, Trial","Athens, Greece"
280,60,Naked Lunch,William S. Burroughs,1959,American,English,200-250,58950,280,922,"Absurdist, Banned books, Experimental, Fiction, Picaresque, Postmodern, Social & Cultural Fiction","Addiction, Alienation, Control, Freedom, Identity, Madness, Paranoia, corruption","Fictional Location, Mexico, Morocco, Tangier, United States"
281,497,The House of the Spirits,Isabel Allende,1982,Chilean,Spanish,400-500,145000,281,921,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Death, Family, Family dynamics, Love, Magic, Memory, Politics, Revolution, Violence, class, gender","Chile, United States"
282,37,Gravity's Rainbow,Thomas Pynchon,1973,American,English,760-776,305000,282,919,"Allegorical, Encyclopedic, Experimental, Fiction, Literary Fiction, Picaresque, Postmodern, Surreal","Chaos, Conspiracy, Death & Grief, Entropy, Identity, Paranoia, Power, Sexuality, Technology, War, stream of consciousness","Europe, Germany, London, United Kingdom, United States"
283,488,The Death of Ivan Ilyich,Leo Tolstoy,1886,Russian,Russian,50-150,22000,283,918,"Allegorical, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, philosophical","Alienation, Authenticity, Denial, Existentialism, Family, Family dynamics, Mortality, Social status, Suffering","Russia, Saint Petersburg"
284,176,The Autobiography of Alice B. Toklas,Gertrude Stein,1933,American,English,200-300,64500,284,916,"Biography, Experimental, Memoir, Modernist, Nonfiction, Social & Cultural Fiction","Creativity, Culture, Friendship, Identity, Innovation, Literature","France, Paris"
285,2142,The Left Hand Of Darkness,Ursula K. Le Guin,1969,American,English,300-350,97000,285,915,"Fiction, Science fiction, Soft Science Fiction, Speculative Fiction, philosophical","Betrayal, Culture, Diplomacy, Friendship, Politics, Survival, Trust, gender, isolation",Fictional Location
286,231,"Winesburg, Ohio",Sherwood Anderson,1919,American,English,200-300,52000,286,914,"Fiction, Literary Fiction, Modernist, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Alienation, Communication, Dreams, Family, Family dynamics, Human Condition, Identity, Small-town life, isolation, loneliness","Ohio, United States, Winesburg"
287,885,Leviathan,Thomas Hobbes,1651,British,English,300-500,150000,287,913,"Nonfiction, Political, philosophical","Authority, Civil Society, European History, Government, History, Law, Power, Social contract, Sovereignty, State of Nature, human nature",England
288,295,The Good Earth,Pearl S. Buck,1931,American,English,300-400,97000,288,909,"Coming of age, Fiction, Historical fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Agriculture, Family, Farm life, Hardship, Humanities, Marriage, Poverty, Resilience, Social Class, Wealth, change, tradition",China
289,169,Bonfire of the Vanities,Tom Wolfe,1987,American,English,600-700,190000,289,906,"Crime, Fiction, Literary Fiction, Political, Satire, Social & Cultural Fiction","Adultery, Ambition, Finance, Justice, Politics, Racism, Social Class, corruption, greed","Media, New York, New York City, United States"
290,463,Mahabharata,Vyasa,-400,Indian,Sanskrit,5000-10000,200000,290,904,"Allegorical, Drama, Fiction, Mythological, Religion & Spirituality, epic","Dharma, Duty, Family, Fate, Hinduism, History, Loyalty, Power, Revenge, Sacrifice, War, morality",Fictional Location
291,42,Herzog,Saul Bellow,1964,American,English,300-400,103000,291,904,"Fiction, Literary Fiction, Postmodern, Psychological, Social & Cultural Fiction, philosophical","Divorce, Grief, Infidelity, Intellectualism, Love, Mental Health, Redemption, Self-discovery","Chicago, Massachusetts, New York, New York City, United States"
292,473,The Book of Disquiet,Fernando Pessoa,1982,Portuguese,Portuguese,240-544,80000,292,902,"Diaries & Journals, Experimental, Fiction, Literary Fiction, Postmodern, philosophical","Alienation, Dreams, Existence, Introspection, Melancholy, Philosophy, Solitude, imagination","Lisbon, Portugal"
293,429,The Time Machine,H. G. Wells,1895,British,English,80-120,32000,293,900,"Dystopian, Fiction, Literary Fiction, Science fiction, Speculative Fiction","Class Struggle, Decay, Evolution, Future, Humanity, Survival, Technology, Time travel",Fictional Location
294,1275,The Wind-Up Bird Chronicle,Haruki Murakami,1994,Japanese,Japanese,610-640,208000,294,897,"Experimental, Fiction, Literary Fiction, Magical Realism, Postmodern, Psychological, philosophical","Disappearance, Dreams, History, Marriage, Memory, Politics, Psychology, Violence, War, cats, isolation, relationships","Japan, Tokyo"
295,141,The Call of the Wild,Jack London,1903,American,English,60-100,32000,295,897,"Adventure, Coming of age, Fiction, Historical fiction, Literary Fiction","Adaptation, Domination, Freedom, History, Instinct, Loyalty, Nature, Primitivism, Survival","Alaska, Canada, United States, Wilderness, Yukon"
296,1079,Labyrinths,Jorge Luis Borges,1962,Argentinian,Spanish,200-300,,296,892,"Allegorical, Fiction, Literary Fiction, Magical Realism, Postmodern, metafiction, philosophical","Dreams, Identity, Infinity, Knowledge, Labyrinths, Paradox, Time, reality","Argentina, Buenos Aires, Germany, India, London, United States"
297,431,Foundation,Isaac Asimov,1951,American,English,200-300,70000,297,891,"Dystopian, Fiction, Hard Science Fiction, Science fiction, Space Opera, Speculative Fiction","Alternate History, Crisis, Empire, Future, Politics, Power, Psychohistory, Science, Technology, Trade",Fictional Location
298,2561,The Posthumous Memoirs of Bras Cubas,Machado de Assis,1881,Brazilian,Portuguese,160-320,68000,298,891,"Fiction, Literary Fiction, Picaresque, Postmodern, Satire, Social & Cultural Fiction, philosophical","Death, Existentialism, Family, Friendship, Love, Madness, Memory, Philosophy, Politics, Social Class","Brazil, Rio de Janeiro"
299,232,The Ambassadors,Henry James,1903,American,English,400-500,112000,299,887,"Coming of age, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction, philosophical","Culture, Duty, History, Love, Marriage, Society, Transformation, morality, relationships","France, Paris, United States"
300,1375,Where the Wild Things Are,Maurice Sendak,1963,American,English,40,338,300,876,"Children's books, Fantasy, Fiction, Speculative Fiction, picture books","Animals, Conduct of life, Emotions, Juvenile, Monsters, Nobility, Novela, childhood, imagination, rebellion","Fictional Location, Independence"
301,941,The Pickwick Papers,Charles Dickens,1836,British,English,800-1000,183349,301,875,"Fiction, Humor, Literary Fiction, Picaresque, Social & Cultural Fiction, Victorian","Debt, Friendship, Justice, Law, Marriage, Mischief, Society","England, London"
302,2248,Kristin Lavransdatter,Sigrid Undset,1920,Norwegian,Norwegian,1000-1400,360000,302,873,"Coming of age, Family & Relationships, Fiction, Historical fiction, Literary Fiction, Tragedy","Catholicism, Death, Family, Honor, Love, Marriage, Medieval Society, Motherhood, Redemption, Sin, Women's Studies, relationships",Norway
303,1640,Meditations,Marcus Aurelius,161,Roman,Greek,200-300,,303,870,"Ancient, Diaries & Journals, Nonfiction, Religion & Spirituality, philosophical","Duty, History, Impermanence, Inner Peace, Mortality, Nature, Rationality, Self-discipline, Stoicism, Virtue, Wisdom","Italy, Rome"
